deployment_id,machine,project_identity,status,total_tasks,done,abandoned,failed,in_progress,gov_share_pct,gov_trend,first,last,duration_days,burden_fields,multi_dispatch_trend,burden_note,accretion_verdict,notes
ulivo-wg-primary,ulivo,wg (worksgood) itself — the tool building itself,live,thousands across eras; Jan-Jul ledger destroyed at Jul 4 cutover,39 (Aug) + 64 (Sep),,,,accelerating,0%->~8%->~26% vocab share; census 312:1,2026-01-18,live,~240,dispatch_count,"2.6->25.8->26.8% Jul (9x step, never reverted); 13-33-19% post-Sept-13 (small n)","THE cascade signature; post-intervention small-n, unresolved",ACCRETING (the one cascade),the primary case; five-week recovery arc; enforcement autonomy demobilized Sep 13; new-era rule-stock trajectory unknown
ulivo-grant-a_R01,ulivo,NIH R01 genomics grant (GWAS/pangenome),archived,848,808,35,5,,78,stable (75-84% daily),2026-05-19,2026-06-05,17,none recoverable,,,stable-machinery,207 skip-eval = hand-performed rule bankruptcy mid-campaign; deliverable shipped May 29
ulivo-grant-b_R01,ulivo,NIH R01 grant (pending; anonymized),archived,385,,,,,0->12->24,linear by design,2026-02-13,2026-05-29,105,"dispatch (Apr era only, 1 retry)",,,healthy-bounded,Feb 13 archive = earliest task record anywhere (0% gov baseline); 123/137 day during primary trough
ulivo-paperhedge,ulivo,IBKR paper-trading lab,archived,8,8,0,0,,0,,2026-06-15,2026-06-23,8,,,,healthy-bounded,
ulivo-typelean,ulivo,Lean 4 type system,archived,3,2,1,0,,0,,2026-06-24,2026-06-24,1,,,,healthy-bounded,
puppost-wg,puppost,wg,live,1517,23,21,0,,0,,2026-04-27,2026-07-27,,dispatch_count,6.4->3.1->0% (declining),healthy; avg 0.85 flat,healthy-bounded,live graph audit span 2026-07-27 only (older chains compacted); 1473 live tasks; 44 archived Apr 27-May 11
puppost-phonon,puppost,phonon,archived,687,357,5,0,,65,,2026-01-29,2026-02-17,,dispatch_count,9.3->4.6%,healthy,unknown,
puppost-google_ai_competition_incorporation-trace,puppost,google_ai_competition/incorporation-trace,archived,599,102,4,0,,8,,2026-04-01,2026-04-10,,,,not computed,unknown,
puppost-phage,puppost,phage,archived,434,97,1,0,,3,,2026-06-16,2026-06-25,,dispatch_count,0.3->0%,pristine,unknown,
puppost-google_ai_competition,puppost,google_ai_competition,archived,262,241,19,1,,,,,,,,,not computed,unknown,
puppost-impg-paper,puppost,impg-paper,archived,211,62,1,0,,70,,2026-03-03,2026-03-04,,,,not computed,unknown,
